Age, Income , LoanAmount, CreditScore, EmploymentYears, ExistingLoans, MonthlyDebt, LoanTerm, PreviousDefault, HomeOwnership, Default
 49,  593790,      50000,         771,              22,             3,        9705,       24, No             , Rent         ,       0
 60,  877115,     318223,         653,               0,             0,       16270,       36, No             , Own          ,       0
 45, 1042813,    1274279,         677,               9,             0,       18710,       60, No             , Rent         ,       0
 23,  390991,    1024405,         714,               5,             4,       35381,       60, Yes            , Own          ,       1
 37,  981047,     675579,         559,               6,             3,       11198,       24, Yes            , Own          ,       0
 59,  801350,     978337,         605,              20,             4,       21126,       36, No             , Rent         ,       1
 62,  753755,     477758,         690,               5,             0,           0,       60, No             , Own          ,       0
 65,  219407,     635895,         844,              20,             3,       29178,       60, No             , Mortgage     ,       0
 35,  150000,     287555,         560,               1,             3,       25119,       60, No             , Rent         ,       0
 36,  209557,     727279,         654,              10,             2,        8241,       60, No             , Mortgage     ,       0
 43,  220388,      89634,         729,              17,             3,       14497,       84, Yes            , Own          ,       0
 29,  150000,     715991,         555,              11,             2,       26049,       60, No             , Rent         ,       1
 45,  717023,      50000,         850,               0,             0,       21493,       60, No             , Mortgage     ,       0
 33, 1285429,     758646,         612,              15,             4,       33761,       36, No             , Own          ,       1
 34,  578989,     528410,         673,               3,             5,       41445,       60, No             , Mortgage     ,       0
 53, 1145307,     784231,         638,              15,             1,        9611,       60, No             , Rent         ,       0
 33,  945851,     316554,         646,              15,             1,       22826,       84, No             , Mortgage     ,       1
 35,  905833,     535073,         693,              17,             0,        7383,       12, No             , Mortgage     ,       0
 49,  441346,     376060,         786,              25,             2,       12754,       24, No             , Mortgage     ,       0
 45,  678533,     741511,         655,               6,             1,        5321,       60, No             , Own          ,       0
 61,  407319,     299337,         743,              15,             3,       20797,       48, No             , Mortgage     ,       0
 39,  210016,      50000,         603,               0,             1,       19163,       60, No             , Rent         ,       0
 52,  751333,     688321,         748,              13,             2,       32981,       60, No             , Rent         ,       0
 31,  183719,     422063,         654,               0,             0,       15239,       60, No             , Mortgage     ,       1
 63,  994978,     561231,         691,              14,             2,       33897,       48, Yes            , Mortgage     ,       0
 48,  874116,     571360,         509,              20,             4,       28639,       48, No             , Own          ,       1
 25,  604160,     267970,         764,               3,             3,       47083,       60, Yes            , Rent         ,       0
 53,  650809,    1070658,         587,              30,             3,       30956,       24, No             , Rent         ,       1
 37,  262800,     760984,         561,              19,             3,       27602,       36, No             , Mortgage     ,       1
 39, 1185263,     664006,         747,              21,             2,       17731,       24, No             , Rent         ,       0
 42, 1245125,     884733,         671,              22,             5,       37990,       60, No             , Own          ,       0
 55,  162741,     328586,         696,               9,             4,       26684,       60, No             , Mortgage     ,       0
 62,  657911,     679010,         850,              16,             2,       18385,       36, Yes            , Rent         ,       0
 58,  479053,     556248,         511,               4,             0,        2194,       36, No             , Own          ,       0
 37,  433059,     295899,         682,              19,             0,        9984,       60, No             , Rent         ,       0
 57, 1171207,     797879,         787,               4,             0,        5314,       60, No             , Mortgage     ,       1
 49,  535567,     741669,         613,              20,             4,       43432,       36, No             , Rent         ,       1
 61,  808210,      50000,         506,              18,             4,       44955,       60, No             , Own          ,       1
 53,  576125,      50000,         774,               9,             5,       39439,       60, No             , Rent         ,       0
 39,  685740,     849884,         719,              21,             1,           0,       24, No             , Rent         ,       0
 21, 1371442,     531087,         652,               3,             4,       38405,       12, No             , Own          ,       1
 45,  662715,     196256,         739,               0,             5,       23382,       48, No             , Mortgage     ,       0
 23,  524952,     457785,         736,               5,             4,       43693,       60, Yes            , Own          ,       0
 64,  728143,     296193,         719,              13,             4,       28406,       24, No             , Rent         ,       0
 25,  699407,      50000,         779,               7,             3,       28524,       36, No             , Own          ,       0
 25,  605838,      50000,         777,               7,             0,       15892,       60, No             , Rent         ,       0
 37,  958704,     530589,         701,               9,             0,       16291,       24, Yes            , Rent         ,       1
 46, 1223030,     991763,         850,              27,             0,        4290,       24, No             , Rent         ,       0
 53, 1463162,    1199832,         673,              15,             4,       18780,       60, No             , Rent         ,       0
 55, 1060204,      94812,         631,              11,             5,       41283,       48, Yes            , Own          ,       1
 45, 1142343,     498986,         712,              14,             1,       27578,       48, Yes            , Rent         ,       0
 36,  466257,     204831,         434,              16,             1,       22821,       12, Yes            , Mortgage     ,       1
 61,  806542,     447649,         615,              16,             0,        4141,       60, No             , Mortgage     ,       1
 43, 1602668,     892581,         620,              25,             2,       28531,       36, No             , Mortgage     ,       0
 34,  150000,     625222,         671,              13,             0,       18204,       84, No             , Own          ,       0
 49,  594875,     304565,         563,              17,             5,       47113,       36, No             , Mortgage     ,       0
 28,  817796,     702554,         747,              10,             5,       29363,       60, No             , Own          ,       0
 46,  241426,     891294,         618,              23,             0,       18262,       36, No             , Rent         ,       0
 39,  223123,     622224,         669,               8,             2,       27139,       60, Yes            , Rent         ,       1
 38,  895681,     768512,         638,               8,             3,       25494,       60, Yes            , Rent         ,       1
 52, 1309299,     161881,         700,              28,             4,       21362,       60, No             , Rent         ,       0
 29,  526721,     888314,         610,              11,             2,       35633,       60, No             , Rent         ,       1
 41, 1318770,     827019,         731,              23,             0,       20349,       60, No             , Mortgage     ,       0
 57,  762529,     837062,         561,              29,             2,       23969,       36, No             , Rent         ,       1
 46,  458244,     896485,         774,              16,             4,       37073,       60, No             , Rent         ,       0
 42,  800468,     990948,         599,              10,             0,       16306,       24, No             , Rent         ,       0
 37,  150000,    1294222,         662,               7,             3,       35614,       60, No             , Own          ,       1
 41,  801074,    1017254,         619,              12,             2,       21258,       48, No             , Mortgage     ,       0
 26,  720749,     613985,         850,               8,             0,           0,       36, No             , Mortgage     ,       0
 51,  473417,     401147,         750,              16,             3,       27329,       24, No             , Own          ,       1
 41, 1256812,      50000,         551,              23,             2,       23640,       36, Yes            , Rent         ,       1
 48,  292200,     211922,         627,              14,             4,       37878,       48, No             , Rent         ,       0
 59,  752475,     210586,         616,              13,             1,       23160,       24, No             , Rent         ,       0
 49,  808830,     924191,         694,               6,             4,       40466,       12, No             , Own          ,       1
 40,  322402,     576073,         598,               0,             1,       21537,       36, No             , Own          ,       0
 41,  942616,     412115,         606,               7,             1,       22152,       60, No             , Rent         ,       1
 21,  921834,     991032,         611,               3,             1,       13979,       60, No             , Rent         ,       0
 44,  709951,     524516,         624,              11,             1,       23779,       36, No             , Rent         ,       0
 42,  687701,     516103,         744,              15,             5,       31942,       12, No             , Rent         ,       0
 61,  723854,     995718,         657,              27,             2,       24505,       24, No             , Rent         ,       0
 65,  949644,     413467,         654,              24,             3,       30162,       36, No             , Rent         ,       0
 36,  962534,     646228,         743,              16,             1,       17697,       48, No             , Own          ,       0
 22,  338342,      50000,         569,               4,             3,       39471,       12, No             , Rent         ,       1
 30, 1221829,    1213196,         746,               1,             2,       29501,       84, No             , Rent         ,       0
 31,  555382,     409565,         758,              13,             3,       16607,       60, No             , Rent         ,       0
 48,  870377,     409811,         569,               4,             2,       11381,       60, No             , Rent         ,       0
 54,  382917,     699023,         774,              14,             4,       29232,       36, No             , Rent         ,       0
 38, 1527290,     355227,         673,              20,             1,       18609,       24, No             , Rent         ,       0
 55,  909528,     458926,         699,               7,             3,       34206,       84, No             , Rent         ,       0
 55,  705660,     175922,         842,               7,             5,       31463,       24, Yes            , Own          ,       0
 51,  924092,      50000,         610,               3,             2,       23208,       36, No             , Rent         ,       0
 53,  580875,     767474,         717,              12,             1,       22563,       60, No             , Own          ,       1
 43, 1270635,     640720,         658,              18,             4,       26927,       48, No             , Mortgage     ,       0
 43,  336052,     973796,         767,               2,             1,       18536,       48, No             , Mortgage     ,       0
 60,  445635,     251938,         591,               0,             0,       14142,       60, Yes            , Own          ,       1
 58,  588398,     805191,         850,              12,             4,       48377,       36, No             , Own          ,       0
 65, 1011255,     950848,         746,               7,             1,       21062,       12, Yes            , Own          ,       0
 61,  659850,     992170,         784,              17,             0,       12314,       60, No             , Rent         ,       0
 61,  446737,     338743,         630,              10,             0,           0,       60, No             , Own          ,       0
 44,  900024,     889569,         524,              11,             3,       22260,       12, Yes            , Mortgage     ,       1
 37,  747428,     862724,         564,              19,             0,        9029,       84, No             , Own          ,       0
 58,  598498,     499345,         541,              20,             0,       14812,       84, No             , Mortgage     ,       0
 42,  580239,    1309252,         761,              24,             0,       12868,       60, No             , Rent         ,       0
 42,  198374,     428042,         803,              21,             3,       12584,       48, No             , Mortgage     ,       0
 25,  290681,     418374,         702,               7,             4,       24491,       36, No             , Rent         ,       1
 58, 1354418,     635418,         810,              26,             2,       23103,       60, No             , Rent         ,       0
 36,  281519,     757831,         649,              18,             4,       44915,       36, No             , Mortgage     ,       1
 63,  617475,     665359,         772,              15,             1,        2467,       24, Yes            , Rent         ,       0
 28,  722072,      50000,         716,               2,             0,        8451,       60, No             , Rent         ,       0
 48, 1008966,     482878,         684,               3,             1,       20972,       36, No             , Own          ,       0
 36,  358711,     412016,         790,              13,             2,       21263,       48, Yes            , Rent         ,       1
 42,  473179,     206081,         802,              24,             4,       33267,       12, No             , Own          ,       0
 51,  337960,     575948,         704,              13,             2,       30766,       36, No             , Own          ,       0
 65,  403330,     538603,         569,               7,             3,       31185,       60, No             , Rent         ,       0
 34,  610485,     411991,         659,               8,             4,       13982,       36, No             , Mortgage     ,       0
 54,  455836,      50000,         620,              13,             1,       26279,       48, No             , Rent         ,       0
 47,  575363,     956356,         688,              13,             0,       12762,       48, No             , Own          ,       0
 42,  756390,    1116465,         741,              15,             3,       30647,       60, No             , Mortgage     ,       1
 37,  727501,    1155243,         749,              19,             2,       33860,       24, No             , Rent         ,       0
 29,  761028,     666972,         641,              11,             5,       47018,       24, Yes            , Mortgage     ,       0
 36, 1469243,     577440,         706,              18,             0,        5290,       48, No             , Rent         ,       0
 33,  584933,     645156,         710,              11,             3,       46434,       36, No             , Mortgage     ,       0
 40,  548150,     504380,         574,               8,             2,       26231,       48, No             , Rent         ,       1
 35,  665944,     259732,         777,              17,             4,       19813,       48, No             , Rent         ,       0
 52,  150000,     644390,         661,              21,             5,       25717,       60, No             , Rent         ,       0
 64,  314625,     886686,         748,               4,             0,        4374,       36, No             , Mortgage     ,       0
 50,  483573,     393820,         609,               2,             5,       41643,       60, No             , Mortgage     ,       1
 46,  712819,    1002636,         676,              28,             5,       50016,       60, No             , Rent         ,       1
 57,  416279,     519112,         765,              10,             0,        8467,       60, Yes            , Rent         ,       0
 59, 1162488,     426606,         615,               7,             4,       32394,       36, No             , Rent         ,       0
 21,  617704,      50000,         728,               2,             1,       25856,       84, No             , Own          ,       0
 35,  150000,     749820,         741,              13,             3,       26792,       60, No             , Rent         ,       0
 56,  341366,     455768,         599,               9,             0,       24122,       84, No             , Own          ,       0
 37,  969452,     540866,         797,               7,             1,       24157,       24, No             , Mortgage     ,       0
 51,  792612,     610360,         696,              16,             0,           0,       24, No             , Mortgage     ,       0
 21,  557112,     738425,         777,               3,             4,       37200,       60, No             , Mortgage     ,       0
 22,  573945,     841877,         409,               4,             4,       19012,       48, No             , Rent         ,       1
 62,  657144,    1459802,         681,               0,             4,       32202,       60, No             , Mortgage     ,       0
 57,  955407,    1125040,         556,               0,             3,        8939,       60, Yes            , Rent         ,       1
 56,  743875,      50000,         665,               9,             0,        8627,       36, No             , Rent         ,       0
 26,  894664,     476124,         721,               8,             4,       37756,       36, No             , Mortgage     ,       0
 39,  762491,     748587,         732,              21,             2,       24687,       12, Yes            , Rent         ,       0
 27,  374405,     668148,         606,               5,             4,       35696,       60, No             , Own          ,       1
 55,  933864,     298151,         680,              22,             2,       22546,       12, No             , Mortgage     ,       0
 21,  405315,     841509,         850,               3,             0,       12660,       60, No             , Own          ,       0
 27, 1137866,     208636,         778,               9,             3,       34277,       60, No             , Rent         ,       0
 57, 1063272,     902559,         519,              22,             4,       34323,       84, No             , Rent         ,       0
 51,  580183,     385083,         769,               9,             1,       37617,       12, No             , Mortgage     ,       0
 54,  672392,     662156,         672,              11,             0,       19838,       36, No             , Rent         ,       0
 50,  792217,     209885,         685,              27,             4,       29369,       60, No             , Rent         ,       0
 38, 1823035,     672216,         682,              20,             5,       42241,       24, No             , Own          ,       0
 29,  845048,     702727,         742,               3,             3,       24934,       24, No             , Mortgage     ,       0
 62,  848217,     676495,         538,              16,             2,       20849,       48, No             , Rent         ,       0
 42,  150000,      50000,         758,               3,             3,       26351,       24, No             , Mortgage     ,       0
 45,  972921,     758216,         847,              11,             2,       11047,       36, No             , Rent         ,       0
 32, 1034146,    1018707,         837,               9,             3,       15552,       24, No             , Rent         ,       0
 36,  420841,     859247,         726,               9,             4,       23932,       48, No             , Rent         ,       0
 36,  652543,     321676,         617,              18,             3,       17802,       60, No             , Own          ,       0
 58,  150000,     294561,         638,               4,             5,       45462,       84, No             , Rent         ,       1
 50, 1005019,     713005,         797,              28,             3,       30197,       84, No             , Own          ,       0
 49, 1104365,     700366,         627,              29,             2,       16946,       36, No             , Mortgage     ,       0
 40,  595985,     242455,         693,              17,             1,       15630,       60, No             , Mortgage     ,       0
 36,  326814,     465183,         546,              18,             2,       27708,       36, No             , Rent         ,       1
 39,  150000,      50000,         689,              21,             2,       18857,       36, No             , Rent         ,       0
 52,  542823,     590018,         650,               7,             1,       17939,       12, No             , Mortgage     ,       0
 23,  150000,      75464,         699,               2,             5,       35625,       60, No             , Own          ,       0
 24,  689675,      50000,         777,               3,             3,       26335,       60, Yes            , Rent         ,       0
 64,  150000,     520112,         731,              19,             5,       20359,       24, No             , Mortgage     ,       0
 30,  596976,     102825,         705,               1,             3,       33058,       60, No             , Mortgage     ,       0
 47,  517071,     192593,         542,              29,             3,       21155,       48, No             , Mortgage     ,       1
 32, 1114572,     621178,         697,               4,             3,       25004,       36, No             , Own          ,       0
 59,  262576,      50000,         850,              30,             5,       26801,       24, No             , Own          ,       0
 62, 1154413,     615811,         630,              23,             5,       31183,       36, Yes            , Mortgage     ,       0
 27,  573409,     323099,         505,               9,             1,        8704,       24, No             , Rent         ,       0
 31,  836591,     584089,         570,               3,             0,           0,       60, No             , Rent         ,       1
 49,  712073,     173327,         850,               8,             1,       19022,       36, No             , Mortgage     ,       0
 50,  854550,     577750,         711,               2,             0,       10174,       60, No             , Mortgage     ,       0
 32,  687162,    1239252,         533,              11,             1,        3486,       12, No             , Mortgage     ,       0
 26,  784294,     419221,         658,               1,             0,       16814,       36, No             , Rent         ,       0
 44,  150000,     278246,         670,              26,             0,        9331,       60, No             , Rent         ,       0
 41, 1286632,      50000,         790,              23,             2,       11673,       48, No             , Rent         ,       0
 26,  311792,    1037147,         657,               8,             1,       28683,       60, No             , Mortgage     ,       0
 55, 1098317,     920692,         655,               7,             4,       25725,       48, No             , Rent         ,       1
 44,  475500,     826953,         804,               8,             3,       27157,       60, No             , Mortgage     ,       0
 33,  764295,     580868,         608,               7,             1,       14424,       60, No             , Mortgage     ,       0
 29, 1014404,      90897,         791,              11,             1,       17532,       60, No             , Mortgage     ,       0
 63,  186949,      88446,         729,              23,             1,       11135,       60, Yes            , Mortgage     ,       1
 51,  497161,     581264,         819,              12,             1,       19287,       60, No             , Rent         ,       0
 35,  928247,     865557,         682,               8,             3,       21870,       24, No             , Mortgage     ,       0
 55,  470024,     863215,         665,              25,             2,       23293,       36, No             , Rent         ,       1
 31,  150000,     539265,         743,              13,             4,       19930,       12, No             , Rent         ,       0
 51,  366048,     791807,         691,              11,             3,       36489,       60, No             , Mortgage     ,       1
 27,  391640,    1552460,         599,               9,             4,       42614,       60, No             , Rent         ,       1
 57, 1054508,     613852,         611,              23,             3,       21046,       24, No             , Own          ,       0
 30, 1159280,     386916,         671,              12,             4,       24148,       12, No             , Own          ,       0
 37,  150000,     747817,         782,               5,             5,       36609,       60, No             , Mortgage     ,       0
 59,  336424,     635029,         656,               4,             0,       12955,       48, No             , Rent         ,       0
 65, 1050330,     471937,         520,              26,             1,       27445,       36, No             , Rent         ,       0
 49,  150000,     311643,         636,              30,             1,       12864,       60, Yes            , Rent         ,       1
 29,  150000,    1033339,         571,              11,             0,        7499,       60, Yes            , Own          ,       1
 38,  965511,     700055,         830,              11,             5,       37411,       36, No             , Mortgage     ,       0
 45,  430171,    1153925,         681,              27,             5,       28033,       48, No             , Mortgage     ,       1
 36,  714738,     659598,         611,               5,             5,       40443,       36, No             , Rent         ,       0
 21,  684751,     490943,         738,               3,             4,       28504,       60, No             , Rent         ,       0
 54,  588996,     330786,         608,              11,             3,       30344,       60, No             , Rent         ,       0
 62,  918926,     421542,         794,              12,             3,       18051,       36, No             , Rent         ,       0
 57,  362589,     292990,         671,               2,             4,       37368,       60, Yes            , Own          ,       1
 27,  947735,     189884,         600,               4,             5,       46498,       84, No             , Rent         ,       0
 29,  792508,    1330106,         670,               5,             3,       14074,       60, No             , Rent         ,       1
 63,  526632,     248791,         648,               6,             2,       17938,       48, No             , Rent         ,       0
 55,  958991,     609554,         683,               6,             2,       20676,       60, No             , Rent         ,       0
 44, 1406487,     474745,         742,               8,             3,        5324,       48, No             , Own          ,       0
 31,  839862,     229130,         846,              12,             3,       13310,       48, No             , Rent         ,       0
 51, 1245848,     687956,         775,              29,             2,       11529,       48, No             , Own          ,       0
 34, 1266566,     268722,         658,              16,             2,       25926,       48, No             , Rent         ,       0
 64,  674008,     494567,         615,              24,             3,       52122,       36, Yes            , Rent         ,       0
 47,  774042,     260254,         683,              28,             2,       11617,       24, No             , Mortgage     ,       0
 43, 1280327,     417446,         582,              16,             4,       34053,       24, No             , Mortgage     ,       1
 59, 1132495,     747601,         523,               6,             1,       19378,       36, No             , Rent         ,       1
 62,  697849,     565266,         661,               7,             4,       40767,       48, Yes            , Mortgage     ,       1
 22,  150000,     470415,         640,               4,             5,       40870,       60, No             , Rent         ,       0
 46,  632214,      50000,         796,              10,             5,       46668,       12, No             , Own          ,       0
 24,  652236,     422243,         679,               6,             4,        9953,       24, No             , Own          ,       0
 42,  150000,     611602,         773,              14,             1,       22873,       12, No             , Rent         ,       0
 56,  444839,     516110,         850,              15,             2,       23115,       36, No             , Rent         ,       1
 46,  751025,     922655,         773,              10,             5,       17305,       48, Yes            , Rent         ,       0
 53, 1193455,     227387,         692,              18,             3,       35895,       60, No             , Rent         ,       0
 47,  803040,     797064,         751,              19,             0,       16301,       60, No             , Own          ,       0
 58, 1288961,     844705,         608,              18,             4,       27227,       48, No             , Rent         ,       1
 65,  807831,    1053351,         679,              17,             3,       21254,       24, No             , Rent         ,       0
 33,  503833,     853842,         680,               6,             0,           0,       60, No             , Own          ,       0
 48,  677554,     338981,         707,               7,             2,        5185,       24, Yes            , Mortgage     ,       0
 29,  555487,     611580,         655,               0,             0,       16658,       36, No             , Own          ,       0
 27, 1216314,     185900,         682,               7,             5,       33585,       60, No             , Own          ,       0
 22,  527239,     231075,         822,               4,             5,       33220,       36, No             , Own          ,       0
 57, 1057321,     540730,         591,              30,             3,       23163,       60, No             , Mortgage     ,       0
 42,  816130,     394756,         667,              11,             0,       22985,       48, No             , Rent         ,       0
 39,  394857,      50000,         718,              21,             3,       23743,       48, No             , Own          ,       0
 28,  999899,     453246,         729,              10,             0,        9904,       36, No             , Mortgage     ,       0
 61,  346051,     544782,         613,               2,             0,       13853,       24, No             , Own          ,       1
 38,  690449,     378711,         610,               1,             4,       24341,       60, No             , Mortgage     ,       1
 51,  661486,      97837,         706,              12,             5,       36994,       60, No             , Own          ,       0
 33, 1672483,     627875,         709,              15,             5,       30209,       12, No             , Mortgage     ,       0
 47,  603662,      50000,         510,               6,             1,           0,       60, No             , Own          ,       0
 29,  710012,     748858,         835,              11,             0,       24518,       36, No             , Rent         ,       0
 38,  788435,     660552,         652,               8,             4,       44996,       84, No             , Rent         ,       0
 27,  632763,     370926,         756,               9,             0,       18481,       60, No             , Own          ,       1
 56,  267218,     913312,         746,              20,             1,        6391,       60, No             , Mortgage     ,       0
 65,  705623,    1349495,         498,              14,             3,       24576,       36, Yes            , Rent         ,       1
 23,  665696,      50000,         702,               5,             3,       15800,       60, No             , Own          ,       0
 33,  463692,    1554257,         631,              15,             4,       25287,       60, No             , Mortgage     ,       1
 39, 1136037,     179385,         805,              16,             4,       36295,       24, No             , Own          ,       0
 55,  563262,     565468,         761,              22,             1,       19894,       36, No             , Rent         ,       0
 43,  593577,     161935,         810,               9,             1,       18943,       24, No             , Own          ,       0
 52,  605439,     990962,         697,              26,             0,       31758,       60, No             , Rent         ,       0
 33,  350424,     967554,         584,               8,             4,       27209,       36, No             , Rent         ,       1
 63,  506260,     758828,         671,               3,             5,       44380,       24, No             , Own          ,       0
 30,  918244,     470361,         681,               0,             2,       30768,       60, No             , Rent         ,       1
 36,  606068,      50000,         734,              18,             3,       37073,       60, No             , Own          ,       0
 32,  575550,     320496,         745,               6,             4,       40904,       60, No             , Rent         ,       0
 22,  844909,     700773,         772,               4,             0,        6031,       36, No             , Rent         ,       0
 47,  746542,     146334,         741,              20,             4,       31077,       36, No             , Rent         ,       0
 30,  901082,      50000,         685,               4,             4,       25816,       24, No             , Own          ,       0
 36,  586536,     410690,         763,               7,             3,       31365,       36, No             , Rent         ,       0
 56,  685255,     120871,         630,              28,             4,       25172,       84, No             , Rent         ,       1
 41, 1021850,     751909,         659,              17,             2,       19687,       60, No             , Own          ,       0
 44,  744335,      50000,         638,               0,             3,        6175,       60, No             , Rent         ,       0
 47,  534338,      50000,         756,              16,             2,       31420,       36, No             , Rent         ,       0
 39,  408985,     414659,         629,              11,             5,       29063,       24, No             , Mortgage     ,       0
 47,  676486,     568586,         724,               6,             2,        5886,       36, No             , Rent         ,       0
 56,  921002,     678037,         669,              16,             0,           0,       24, Yes            , Own          ,       0
 64,  880392,     783282,         667,               9,             5,       35014,       48, No             , Own          ,       1
 55,  698751,      50000,         750,              22,             3,       43104,       60, Yes            , Rent         ,       0
 29,  598365,     469447,         621,              11,             1,       14776,       60, No             , Mortgage     ,       0
 56, 1060761,     437357,         676,              21,             3,       33828,       48, No             , Mortgage     ,       0
 43, 1101346,      50000,         703,               8,             0,       17842,       36, No             , Mortgage     ,       0
 32,  631968,     979029,         687,              14,             3,       36054,       36, Yes            , Mortgage     ,       0
 45,  150000,     365517,         738,              12,             4,       36109,       36, Yes            , Mortgage     ,       0
 30,  217618,      95906,         669,              12,             3,       25077,       36, No             , Rent         ,       1
 50,  285515,     838263,         695,              14,             5,       32969,       60, Yes            , Own          ,       1
 52,  366657,    1100798,         850,               4,             3,       30685,       60, No             , Own          ,       1
 23,  634748,     490374,         656,               5,             2,       20418,       60, No             , Rent         ,       0
 45,  810936,      50000,         595,              26,             2,        2554,       36, No             , Rent         ,       0
 29,  744193,     501012,         712,              11,             1,       11430,       60, No             , Own          ,       0
 60,  603755,     649494,         573,               7,             0,       20533,       36, No             , Own          ,       0
 34,  150000,     635539,         676,              11,             1,       16999,       60, No             , Rent         ,       0
 44, 1184544,     265816,         687,              26,             2,       16628,       12, No             , Rent         ,       1
 32,  251398,    1214221,         733,              14,             4,       19405,       48, No             , Own          ,       0
 60,  697502,     558769,         716,               0,             5,       18148,       24, No             , Rent         ,       0
 37,  993017,      50000,         656,              13,             4,       31452,       60, No             , Rent         ,       0
 28,  324620,    1283664,         658,              10,             4,       31844,       60, No             , Rent         ,       0
 52,  395958,     508475,         787,               4,             1,       22735,       36, No             , Rent         ,       1
 23, 1238645,     747074,         631,               0,             4,       24640,       60, No             , Own          ,       0
 32,  401314,     763317,         770,              14,             0,       14093,       36, No             , Own          ,       0
 62,  864503,     582577,         650,              30,             0,       17604,       60, No             , Own          ,       0
 46,  601916,    1249552,         693,               4,             2,        5684,       24, No             , Own          ,       0
 55,  523584,    1341762,         744,              20,             5,       29090,       60, No             , Mortgage     ,       0
 39,  656628,      54579,         754,               0,             5,       27549,       60, No             , Mortgage     ,       0
 56,  357516,     394993,         748,              10,             0,       24526,       36, No             , Own          ,       0
 35,  347977,     529896,         617,              17,             1,       20647,       48, No             , Rent         ,       1
 54,  743156,     341789,         734,               9,             4,       25521,       36, No             , Rent         ,       0
 64,  668472,     384457,         592,              15,             5,       42576,       48, No             , Mortgage     ,       1
 29, 1411416,      50000,         782,              11,             3,       35281,       48, No             , Rent         ,       0
 37, 1749881,     582457,         569,              19,             4,       27007,       24, No             , Rent         ,       0
 48,  678801,     770907,         712,              13,             5,       39911,       84, No             , Rent         ,       0
 47,  528398,     685515,         744,              22,             2,       10795,       60, No             , Rent         ,       1
 58,  937262,     707387,         685,              14,             1,       23814,       24, No             , Mortgage     ,       0
 62,  562158,     655215,         759,              26,             1,       14934,       60, No             , Rent         ,       0
 63,  825910,     758982,         634,              16,             3,       34147,       60, Yes            , Mortgage     ,       1
 52,  207453,     357813,         850,              20,             2,       20411,       36, No             , Own          ,       0
 48, 1247786,     597843,         748,               0,             1,           0,       24, No             , Own          ,       0
 31,  752030,     835686,         554,              13,             3,       23123,       48, No             , Rent         ,       1
 53,  150000,     683064,         808,              20,             3,       20953,       60, No             , Rent         ,       0
 58, 1134723,     834825,         539,              17,             4,       33236,       36, No             , Own          ,       0
 33, 1027927,     849118,         588,               8,             5,       35868,       24, No             , Rent         ,       0
 52,  539907,    1220777,         566,               9,             5,       21952,       60, Yes            , Rent         ,       1
 46,  399359,     204326,         796,              28,             3,       16100,       60, No             , Mortgage     ,       0
 36,  212639,     640284,         581,               4,             0,       16230,       60, Yes            , Rent         ,       1
 28,  608654,     617691,         706,              10,             4,       38706,       84, No             , Rent         ,       0
 55,  932795,     412495,         599,              30,             2,       20537,       36, No             , Mortgage     ,       1
 47,  579750,      50000,         819,               3,             1,       10694,       12, No             , Own          ,       0
 30,  474650,     341976,         618,              12,             2,       34928,       84, No             , Mortgage     ,       0
 52,  806683,     451026,         709,              30,             3,       18819,       36, No             , Rent         ,       0
 57,  838111,     868894,         601,               1,             0,       10464,       12, No             , Mortgage     ,       0
