Age, MonthlyIncome, YearsAtCompany, TotalWorkingYears, DistanceFromHome, JobSatisfaction, WorkLifeBalance, OverTime, NumCompaniesWorked, TrainingTimesLastYear, Attrition
 54,         89140,             13,                17,               16,               4,               1, No      ,                  1,                     4, No
 28,         31947,              2,                10,               47,               4,               1, Yes     ,                  5,                     0, Yes
 53,        146142,             31,                33,               15,               1,               4, No      ,                  8,                     3, No
 21,         44521,              2,                 3,               28,               1,               2, No      ,                  7,                     6, No
 52,         75319,              2,                11,               28,               4,               4, Yes     ,                  2,                     2, No
 52,         18993,              0,                 6,               13,               2,               3, No      ,                  8,                     6, No
 52,         42562,              7,                 8,               25,               1,               3, Yes     ,                  3,                     0, No
 47,        133329,              8,                29,                6,               4,               2, No      ,                  4,                     2, No
 39,        103622,             16,                21,               33,               3,               2, No      ,                  5,                     2, No
 49,         18000,              0,                 1,               38,               1,               1, No      ,                  6,                     4, Yes
 32,         69489,              4,                14,               48,               4,               3, No      ,                  1,                     1, No
 52,         42485,              2,                 8,               17,               3,               2, No      ,                  4,                     1, Yes
 43,         61088,              1,                 6,               15,               3,               2, No      ,                  7,                     4, No
 39,         78564,              7,                10,               28,               4,               1, No      ,                  4,                     1, No
 41,         44575,              6,                 6,               35,               2,               4, No      ,                  2,                     6, No
 43,         86343,             16,                17,               50,               2,               4, No      ,                  0,                     6, No
 22,         41319,              3,                 4,                2,               3,               2, Yes     ,                  4,                     2, No
 26,         40902,              1,                 8,               12,               1,               3, No      ,                  6,                     3, No
 30,         51757,             12,                12,               14,               1,               4, No      ,                  4,                     2, No
 25,         34476,              4,                 7,               13,               4,               3, Yes     ,                  8,                     2, No
 38,         18000,              0,                 0,               24,               1,               3, No      ,                  5,                     4, Yes
 47,         18000,              2,                 3,               44,               3,               2, No      ,                  4,                     2, Yes
 47,         62717,              7,                 9,                2,               2,               3, No      ,                  0,                     1, No
 39,         68735,              6,                 8,               41,               1,               3, No      ,                  5,                     1, No
 55,        119432,             29,                30,               31,               3,               3, No      ,                  1,                     6, No
 43,        127452,             15,                25,               31,               4,               3, No      ,                  6,                     1, No
 24,         43241,              4,                 6,               34,               2,               3, Yes     ,                  1,                     2, Yes
 51,        120547,             17,                22,                6,               1,               1, No      ,                  8,                     4, No
 43,        105767,              5,                20,               38,               1,               4, No      ,                  2,                     0, Yes
 46,         92435,              7,                23,               13,               1,               4, No      ,                  3,                     1, No
 43,         58077,              9,                14,               26,               4,               1, No      ,                  1,                     1, No
 43,        123330,              1,                24,               34,               2,               2, No      ,                  1,                     6, No
 24,         65718,              2,                 6,               31,               2,               4, No      ,                  8,                     6, No
 43,         87145,             18,                25,               17,               1,               2, No      ,                  2,                     5, No
 52,        120623,             22,                22,               20,               2,               4, No      ,                  4,                     1, No
 33,         51813,              1,                 2,               24,               4,               4, No      ,                  8,                     4, No
 45,        128446,             10,                26,                3,               2,               4, Yes     ,                  5,                     4, No
 22,         48704,              2,                 4,               37,               3,               1, No      ,                  0,                     6, No
 34,         76545,             11,                16,                5,               1,               2, No      ,                  3,                     1, No
 38,         99651,             10,                19,               23,               1,               3, No      ,                  3,                     5, No
 60,        123024,              0,                31,               33,               3,               4, No      ,                  2,                     1, No
 29,         26002,              6,                11,                5,               1,               1, No      ,                  2,                     3, Yes
 32,         97770,              6,                14,               50,               2,               2, No      ,                  4,                     6, Yes
 37,         84070,             14,                19,               19,               2,               1, Yes     ,                  3,                     0, Yes
 60,         60000,             10,                11,                1,               1,               4, No      ,                  2,                     1, No
 55,         68444,             17,                17,               33,               3,               4, No      ,                  3,                     5, No
 22,         18000,              3,                 4,               28,               4,               1, Yes     ,                  3,                     0, No
 30,         69271,              4,                12,               33,               1,               1, Yes     ,                  2,                     4, No
 53,        109668,             11,                24,               38,               4,               2, No      ,                  4,                     3, No
 23,         49803,              1,                 5,               24,               3,               4, No      ,                  8,                     2, No
 55,         84746,             13,                13,               42,               3,               2, No      ,                  4,                     6, No
 32,         86575,             12,                14,               19,               1,               2, Yes     ,                  5,                     5, No
 57,         89295,             13,                15,               28,               4,               2, No      ,                  8,                     2, No
 32,        109200,              4,                14,                8,               1,               3, No      ,                  5,                     0, No
 38,         44783,              3,                10,               31,               4,               2, No      ,                  2,                     0, No
 47,        109211,             18,                21,               14,               3,               1, No      ,                  3,                     0, No
 26,         59188,              2,                 4,               35,               2,               4, Yes     ,                  4,                     6, Yes
 43,        149762,             18,                25,               41,               1,               2, No      ,                  4,                     4, No
 41,         51008,              6,                13,               43,               3,               2, Yes     ,                  1,                     4, Yes
 52,         66778,              5,                12,               47,               1,               3, No      ,                  0,                     1, Yes
 60,        130446,             13,                20,                7,               3,               3, Yes     ,                  3,                     5, No
 47,        102545,             14,                17,                7,               4,               1, No      ,                  8,                     5, No
 37,        105315,              6,                19,               47,               2,               1, Yes     ,                  6,                     5, Yes
 37,         97882,             16,                19,               20,               1,               1, No      ,                  7,                     3, No
 37,         90692,              4,                18,                2,               1,               4, No      ,                  1,                     4, No
 53,         39788,              1,                 3,               15,               1,               3, No      ,                  3,                     3, No
 33,         18000,              0,                 0,               42,               1,               4, Yes     ,                  5,                     2, No
 27,         59034,              9,                 9,               18,               1,               3, Yes     ,                  3,                     4, No
 34,         90615,             16,                16,                4,               3,               2, No      ,                  3,                     2, No
 21,         22395,              3,                 3,               37,               2,               3, No      ,                  3,                     6, No
 25,         60978,              2,                 7,               10,               4,               3, No      ,                  0,                     5, No
 24,         99656,              5,                 6,               18,               4,               2, No      ,                  7,                     5, No
 51,         48814,             14,                14,                1,               4,               4, No      ,                  8,                     5, No
 49,         53032,              6,                 6,               31,               3,               4, No      ,                  0,                     3, No
 48,         18000,              0,                 0,               23,               2,               4, Yes     ,                  3,                     6, No
 39,         82793,              0,                12,               44,               4,               4, No      ,                  4,                     1, No
 49,         69038,              8,                11,               17,               1,               2, No      ,                  7,                     3, No
 27,         60913,              6,                 6,               11,               2,               1, No      ,                  8,                     0, No
 57,         80959,              7,                 9,                9,               2,               2, No      ,                  3,                     2, No
 41,         25464,              0,                 0,               11,               3,               3, No      ,                  6,                     4, No
 58,        130577,              5,                21,               23,               3,               4, No      ,                  8,                     3, No
 27,         18000,              7,                 9,                5,               4,               2, No      ,                  7,                     6, Yes
 40,        143028,              2,                22,               21,               4,               2, Yes     ,                  2,                     4, No
 48,         95951,              8,                16,               43,               2,               2, No      ,                  7,                     2, No
 40,        104401,             10,                15,               39,               4,               4, No      ,                  3,                     2, No
 38,         46242,              5,                11,               32,               1,               1, No      ,                  0,                     4, Yes
 27,         28046,              4,                 5,               45,               4,               2, No      ,                  6,                     5, No
 36,        100227,              4,                18,               40,               1,               1, Yes     ,                  7,                     1, No
 30,         72093,              7,                12,               33,               4,               4, Yes     ,                  3,                     4, No
 33,         27095,              0,                 0,               44,               2,               2, Yes     ,                  4,                     4, Yes
 48,        100321,              9,                14,                7,               4,               1, No      ,                  3,                     0, No
 46,         32226,              6,                10,               41,               1,               2, Yes     ,                  1,                     6, No
 45,         64729,              2,                 6,               15,               2,               1, No      ,                  8,                     3, Yes
 35,         93549,              5,                17,               37,               4,               2, No      ,                  0,                     1, No
 59,         93932,              4,                18,               46,               1,               4, No      ,                  5,                     4, No
 24,         20720,              3,                 6,               25,               2,               3, Yes     ,                  0,                     4, Yes
 34,         98255,              9,                16,                5,               1,               4, No      ,                  6,                     6, No
 25,         18000,              2,                 7,               19,               2,               3, Yes     ,                  8,                     0, No
 34,        100871,              6,                16,               21,               2,               4, No      ,                  5,                     2, No
 59,         87542,              6,                22,               47,               3,               2, Yes     ,                  5,                     1, No
 35,         94362,              3,                17,               48,               2,               4, Yes     ,                  7,                     4, No
 57,         91255,             11,                17,               29,               1,               1, Yes     ,                  8,                     3, Yes
 40,        135452,             18,                22,               48,               1,               2, No      ,                  7,                     3, No
 48,        132184,              8,                27,               22,               4,               3, Yes     ,                  2,                     6, No
 39,         97706,             18,                21,               21,               4,               2, No      ,                  5,                     3, No
 31,         67481,              7,                13,               42,               1,               2, No      ,                  7,                     2, Yes
 51,        120512,              3,                18,               34,               1,               1, No      ,                  2,                     0, No
 59,        136653,              9,                25,               27,               1,               1, Yes     ,                  6,                     2, Yes
 31,         57059,              0,                10,               23,               4,               3, Yes     ,                  0,                     6, No
 52,        160544,              1,                34,               36,               3,               4, No      ,                  7,                     3, Yes
 31,         48391,              4,                13,               38,               4,               1, Yes     ,                  5,                     6, No
 49,        146593,             13,                28,               25,               2,               2, No      ,                  6,                     3, Yes
 52,         57523,             13,                16,                2,               3,               4, No      ,                  7,                     3, No
 38,        119532,              2,                20,                6,               1,               4, No      ,                  1,                     3, No
 50,         32715,              2,                 2,                8,               3,               1, Yes     ,                  4,                     3, No
 31,         81765,              1,                 4,               24,               3,               3, No      ,                  7,                     0, No
 24,         27398,              0,                 6,               31,               2,               1, Yes     ,                  1,                     0, Yes
 24,         45352,              4,                 6,               41,               3,               1, No      ,                  7,                     3, No
 38,        138369,             16,                20,               12,               3,               1, Yes     ,                  2,                     4, No
 57,        106445,              9,                15,               40,               2,               3, No      ,                  5,                     3, No
 26,         43068,              1,                 8,               34,               1,               1, No      ,                  4,                     3, Yes
 39,        105831,              2,                19,                3,               1,               2, Yes     ,                  6,                     2, No
 49,        152236,             12,                31,               18,               4,               1, Yes     ,                  7,                     4, No
 29,         73275,              5,                11,               16,               2,               2, No      ,                  3,                     4, No
 49,         72424,             15,                15,               45,               2,               3, Yes     ,                  1,                     0, Yes
 33,         83392,              4,                15,               47,               3,               2, Yes     ,                  3,                     3, No
 53,         18000,              0,                 3,               41,               2,               2, No      ,                  5,                     4, Yes
 44,        133632,             25,                26,               27,               2,               3, No      ,                  6,                     5, No
 42,         51100,              0,                 5,               25,               3,               3, Yes     ,                  6,                     2, No
 28,         59906,              0,                10,               16,               3,               1, No      ,                  3,                     6, No
 39,         81129,              9,                21,               39,               3,               4, Yes     ,                  8,                     4, No
 55,        148994,             10,                26,                5,               1,               4, No      ,                  0,                     3, No
 21,         41161,              2,                 3,               14,               2,               3, Yes     ,                  1,                     4, No
 51,        118132,             23,                26,                7,               2,               3, No      ,                  0,                     6, No
 40,        109349,             21,                22,               25,               3,               3, No      ,                  8,                     1, No
 49,         45388,              3,                12,               15,               1,               2, Yes     ,                  1,                     1, Yes
 47,         18000,              0,                 0,               10,               1,               2, Yes     ,                  5,                     3, Yes
 38,         29119,              4,                 4,               19,               4,               2, No      ,                  7,                     0, No
 33,         86112,              6,                10,               44,               3,               1, No      ,                  6,                     5, No
 46,         18000,              0,                 1,               28,               4,               4, No      ,                  8,                     6, No
 26,         67124,              8,                 8,               42,               2,               2, No      ,                  0,                     4, No
 44,        121510,              3,                26,               46,               4,               2, No      ,                  3,                     6, No
 24,         51663,              4,                 6,               46,               2,               4, No      ,                  4,                     0, Yes
 46,         90855,             14,                17,               18,               3,               3, No      ,                  6,                     4, Yes
 46,        155315,              7,                28,               44,               1,               3, No      ,                  5,                     3, No
 24,         37573,              1,                 6,               46,               4,               1, No      ,                  5,                     1, Yes
 51,        119694,             14,                30,               48,               2,               2, Yes     ,                  2,                     2, Yes
 37,         64325,             15,                16,               18,               4,               3, No      ,                  0,                     3, No
 52,         58626,              2,                11,               12,               2,               2, Yes     ,                  3,                     4, No
 22,         18000,              3,                 4,               30,               4,               1, Yes     ,                  2,                     1, No
 28,         62984,              4,                 8,               47,               2,               4, No      ,                  4,                     4, No
 40,         72416,              1,                14,               46,               1,               2, No      ,                  7,                     6, No
 28,         73143,              2,                 2,               29,               1,               3, Yes     ,                  4,                     0, Yes
 34,         57921,             14,                16,                8,               3,               2, Yes     ,                  5,                     6, No
 47,        122265,             13,                23,               22,               1,               3, No      ,                  0,                     4, No
 26,         18000,              0,                 3,               36,               2,               4, No      ,                  5,                     2, No
 48,         42519,              1,                 7,               29,               3,               4, Yes     ,                  3,                     5, No
 25,         53946,              3,                 7,               18,               2,               1, Yes     ,                  1,                     4, No
 28,         22143,              5,                10,               18,               1,               3, No      ,                  1,                     5, Yes
 44,        135463,             14,                26,                3,               3,               4, No      ,                  7,                     0, No
 52,         94052,              2,                 9,               15,               3,               3, Yes     ,                  8,                     0, No
 27,         51638,              5,                 9,               34,               3,               1, No      ,                  4,                     4, No
 32,         85477,              4,                14,               13,               4,               1, No      ,                  8,                     2, No
 58,        162249,             20,                29,               50,               1,               1, Yes     ,                  1,                     1, Yes
 60,         52649,              7,                 8,                5,               2,               1, No      ,                  2,                     2, No
 44,         18000,              1,                 1,               30,               1,               4, No      ,                  8,                     5, No
 38,         18000,              0,                 1,               25,               4,               4, No      ,                  1,                     1, No
 34,         88138,             13,                13,               42,               3,               3, No      ,                  5,                     6, Yes
 45,        133363,              0,                27,               45,               1,               3, No      ,                  1,                     2, No
 44,         18000,              1,                 1,               28,               3,               4, No      ,                  2,                     1, Yes
 32,         78879,              0,                13,               32,               1,               2, No      ,                  4,                     0, Yes
 21,         24094,              2,                 3,               35,               2,               2, No      ,                  3,                     6, No
 27,         50288,              1,                 9,               27,               3,               3, No      ,                  7,                     0, No
 59,        133713,              2,                24,               10,               3,               2, No      ,                  8,                     2, No
 37,         77709,             13,                19,               22,               4,               1, No      ,                  4,                     4, Yes
 40,        133252,             16,                22,               13,               3,               3, Yes     ,                  4,                     3, Yes
 39,         85042,              2,                21,               24,               4,               4, Yes     ,                  0,                     1, No
 52,        123471,             27,                27,               31,               3,               1, No      ,                  2,                     0, No
 23,         56613,              0,                 0,               11,               1,               1, No      ,                  0,                     4, No
 24,         67492,              2,                 6,               13,               1,               2, Yes     ,                  7,                     3, No
 32,         82557,              4,                14,               42,               4,               4, No      ,                  2,                     0, Yes
 40,         97470,              6,                22,               19,               1,               3, Yes     ,                  3,                     1, No
 47,         71273,              6,                14,               10,               2,               3, No      ,                  7,                     3, No
 40,        115719,              4,                22,               36,               1,               3, No      ,                  6,                     1, No
 38,         77275,              5,                13,               36,               2,               2, Yes     ,                  5,                     2, Yes
 58,         24564,              0,                 1,               42,               3,               3, No      ,                  0,                     0, No
 27,         59245,              0,                 9,               38,               1,               1, Yes     ,                  5,                     5, Yes
 43,         51741,              3,                 8,               50,               2,               1, No      ,                  5,                     4, No
 42,         18000,              2,                 3,               29,               4,               4, Yes     ,                  2,                     5, No
 39,        100903,             16,                21,               15,               1,               3, No      ,                  6,                     0, No
 53,         72063,              3,                 8,               44,               1,               1, No      ,                  8,                     2, No
 31,         51970,              4,                13,               14,               2,               2, Yes     ,                  2,                     1, No
 59,         81588,             12,                15,               15,               4,               1, Yes     ,                  2,                     4, No
 34,         18000,              0,                 0,               42,               2,               3, Yes     ,                  2,                     5, No
 42,        124804,             17,                24,               45,               3,               4, No      ,                  7,                     1, No
 41,         90605,             15,                18,               17,               1,               2, No      ,                  0,                     5, No
 54,         86393,              9,                 9,               37,               3,               2, No      ,                  8,                     4, No
 38,        115118,             17,                20,               47,               1,               1, No      ,                  6,                     5, No
 32,         57188,             14,                14,               40,               3,               2, No      ,                  4,                     0, No
 21,         38282,              0,                 1,                1,               1,               2, No      ,                  5,                     6, No
 35,         79456,              7,                17,               34,               4,               1, No      ,                  8,                     3, No
 54,         70414,              4,                14,                9,               2,               2, No      ,                  6,                     1, No
 21,         40249,              0,                 3,               43,               1,               4, No      ,                  2,                     1, No
 56,        147549,             24,                32,                4,               2,               4, No      ,                  0,                     6, No
 42,        126271,             15,                21,               50,               1,               2, No      ,                  5,                     6, Yes
 26,         41659,              7,                 8,                9,               1,               4, Yes     ,                  1,                     0, No
 33,         48659,              1,                 9,               22,               3,               1, Yes     ,                  0,                     3, Yes
 43,         43785,              4,                 8,               12,               2,               4, No      ,                  8,                     5, No
 33,         70619,              3,                14,               41,               2,               2, No      ,                  4,                     4, No
 25,         71185,              7,                 7,               20,               4,               3, No      ,                  5,                     1, No
 47,        108918,              5,                18,               38,               1,               1, No      ,                  1,                     2, No
 47,        103179,              1,                12,                4,               2,               4, No      ,                  0,                     2, No
 25,         92218,              4,                 7,               23,               1,               2, No      ,                  0,                     2, No
 32,         62247,             13,                14,               46,               2,               4, Yes     ,                  3,                     6, No
 30,         73668,             11,                12,               47,               2,               1, No      ,                  0,                     1, Yes
 47,         42828,              1,                10,               11,               1,               3, Yes     ,                  3,                     4, No
 50,        113003,              8,                25,               20,               1,               1, No      ,                  2,                     6, No
 50,         98859,              3,                21,               21,               4,               4, No      ,                  4,                     5, No
 58,         70171,              5,                16,               29,               1,               2, No      ,                  5,                     5, No
 51,         61866,              8,                14,               27,               4,               3, No      ,                  2,                     1, No
 33,         36203,              1,                 4,                6,               4,               4, No      ,                  4,                     0, No
 25,         29499,              0,                 7,               39,               2,               3, No      ,                  0,                     5, Yes
 45,        116958,             10,                19,               12,               2,               1, No      ,                  2,                     5, No
 57,        135680,              1,                31,               16,               4,               1, No      ,                  8,                     5, No
 60,        202772,              7,                31,               43,               4,               1, Yes     ,                  8,                     2, Yes
 30,         39075,              0,                 6,               35,               1,               4, Yes     ,                  4,                     3, No
 30,         73696,              1,                12,               20,               4,               4, No      ,                  8,                     0, No
 22,         18000,              1,                 3,               46,               4,               2, Yes     ,                  4,                     2, No
 26,         86310,              7,                 8,               20,               1,               4, No      ,                  1,                     3, No
 43,         92551,             10,                12,               29,               1,               1, No      ,                  7,                     0, No
 42,         94544,              1,                16,               13,               3,               3, No      ,                  3,                     0, No
 35,         69158,              0,                17,               10,               1,               2, Yes     ,                  5,                     0, Yes
 33,         88792,              5,                15,               25,               3,               1, No      ,                  5,                     1, No
 54,        123614,             19,                29,               29,               1,               2, Yes     ,                  2,                     6, No
 39,        128122,             14,                19,               41,               3,               2, No      ,                  6,                     4, No
 53,        183566,             29,                35,               20,               1,               2, No      ,                  4,                     6, No
 59,        116118,              7,                22,               45,               1,               1, Yes     ,                  3,                     1, Yes
 33,         20145,              1,                10,               31,               1,               2, Yes     ,                  2,                     4, Yes
 29,         50499,              0,                11,                4,               1,               1, Yes     ,                  6,                     6, Yes
 59,         93180,              2,                14,               37,               3,               4, No      ,                  2,                     2, No
 46,        123632,              1,                19,               29,               1,               2, No      ,                  1,                     4, No
 32,         58765,              4,                 4,               20,               4,               1, Yes     ,                  7,                     4, No
 45,         18000,              1,                 4,               24,               3,               3, Yes     ,                  2,                     5, No
 41,        111428,             17,                20,               16,               2,               4, No      ,                  5,                     6, No
 57,         65479,              3,                 6,               31,               4,               2, Yes     ,                  6,                     4, No
 31,         46750,              7,                13,               29,               3,               4, No      ,                  7,                     4, No
 60,        147858,             14,                30,               23,               3,               3, No      ,                  5,                     6, No
 58,        131929,             21,                25,               15,               1,               3, No      ,                  6,                     4, No
 28,         58586,              0,                10,               20,               3,               2, No      ,                  7,                     2, No
 27,         26461,              0,                 9,               25,               3,               1, No      ,                  8,                     4, No
 42,         24537,              1,                 2,               24,               4,               2, No      ,                  0,                     3, No
 22,         32909,              1,                 4,               16,               2,               4, Yes     ,                  6,                     1, No
 32,         78135,              8,                14,               30,               3,               4, Yes     ,                  1,                     3, No
 38,         95858,             15,                20,               12,               2,               4, No      ,                  8,                     4, No
 59,         43426,              4,                 7,               26,               1,               4, Yes     ,                  0,                     6, No
 60,         92685,              4,                17,                7,               1,               2, No      ,                  2,                     4, No
 27,         67764,              3,                 9,               24,               4,               2, No      ,                  1,                     1, No
 56,         33320,              3,                 4,               40,               3,               4, No      ,                  5,                     6, No
 24,         27226,              0,                 3,               41,               2,               3, Yes     ,                  0,                     4, No
 50,         78262,              7,                13,               35,               3,               2, No      ,                  0,                     2, No
 54,         18000,              1,                 2,               38,               1,               2, No      ,                  4,                     5, No
 56,         38987,              2,                 2,                4,               1,               4, Yes     ,                  8,                     2, No
 29,         68190,              8,                11,               18,               3,               1, No      ,                  4,                     2, No
 56,         52114,              3,                 7,               33,               3,               1, No      ,                  4,                     5, No
 25,         68693,              2,                 7,               41,               4,               3, No      ,                  5,                     6, Yes
 41,         18000,              0,                 0,               30,               4,               1, No      ,                  4,                     3, No
 39,         28471,              4,                10,               43,               2,               1, Yes     ,                  3,                     2, Yes
 33,         89928,              6,                15,               14,               4,               4, No      ,                  5,                     6, No
