TransactionAmount, TransactionHour, AccountAgeMonths, PreviousTransactions, LocationDifferenceKm, DeviceType, FailedLoginAttempts, Fraud
            88310,               4,               22,                   17,                 1238,          0,                   6,     1
            24804,              14,              104,                  174,                   43,          0,                   1,     0
           100200,               1,               15,                   13,                  826,          1,                   4,     1
            25294,              22,               68,                  170,                   30,          1,                   1,     0
            11789,              23,              119,                  233,                   52,          2,                   2,     0
            45024,              23,                5,                   19,                  321,          2,                   2,     1
           116936,               2,               21,                   25,                 1583,          0,                   8,     1
            24062,              16,              108,                  230,                   13,          0,                   0,     0
            14446,              11,               64,                   10,                   33,          2,                   0,     0
             7370,              11,              108,                  188,                   66,          1,                   0,     0
            27128,               7,              109,                   90,                   51,          1,                   0,     0
            24183,              21,              110,                   27,                   68,          0,                   0,     0
            13274,              17,               62,                  240,                   66,          1,                   0,     0
            79355,              23,                2,                   17,                 1905,          1,                   3,     1
             7740,              13,                6,                   28,                   80,          0,                   0,     0
            17532,               6,               91,                  219,                   70,          1,                   2,     0
             1000,               7,               37,                  131,                   78,          0,                   1,     0
             5594,              18,                6,                  109,                   33,          1,                   1,     0
            15359,              13,              117,                  246,                    9,          1,                   2,     0
            25766,               2,               17,                   27,                 1454,          1,                   2,     1
            26906,              22,               60,                  222,                   70,          1,                   0,     0
            21351,              15,               64,                   90,                    9,          0,                   1,     0
             5649,              19,               68,                  133,                   27,          1,                   0,     0
            29655,              17,               32,                  184,                   31,          2,                   0,     0
             6077,              16,              106,                  248,                   52,          2,                   2,     0
             5293,              14,               42,                  164,                   26,          2,                   1,     0
             9922,              12,               13,                  158,                   69,          0,                   2,     0
             9329,               8,              104,                   81,                   44,          2,                   2,     0
            27519,               6,               44,                   83,                   26,          1,                   2,     0
            15503,               7,               92,                  177,                   12,          0,                   1,     0
            14065,              12,               75,                  203,                   25,          2,                   1,     0
            27018,              13,               92,                   89,                   28,          0,                   0,     0
           107211,               2,               24,                   24,                 1847,          1,                   6,     1
             4540,              17,              118,                   27,                   31,          1,                   1,     0
            13296,              23,               48,                  250,                    3,          0,                   1,     0
